Name,Return,Total Trades,% Profitable,Drawdown,Avg Trade,Avg Days
IRCTC.NS,-6.506607930385606,20,40.0,-20.453253203355704,-0.3253303965192803,0.5
IGL.NS,0.4024896627409995,24,45.83333333333333,-20.226758082833463,0.016770402614208313,0.5416666666666666
INDUSTOWER.NS,-5.947924161061041,11,27.27272727272727,-11.134490703321983,-0.5407203782782765,0.36363636363636365
INDUSINDBK.NS,5.648626033743787,19,57.89473684210527,-14.246629453322395,0.29729610703914666,0.10526315789473684
INFY.NS,-22.511388996499605,28,14.285714285714285,-27.061665210046357,-0.8039781784464145,0.39285714285714285
INDIGO.NS,-8.280801159719651,21,33.33333333333333,-20.070244454750565,-0.3943238647485548,0.19047619047619047
IPCALAB.NS,-4.148778932526747,22,40.909090909090914,-21.955201833937416,-0.18858086056939757,0.13636363636363635
JSWENERGY.NS,-11.021739151454906,16,37.5,-21.221882858234586,-0.6888586969659316,0.0
JSWSTEEL.NS,1.0190680453087344,22,45.45454545454545,-17.68693539714756,0.04632127478676065,0.09090909090909091
JINDALSTEL.NS,3.2636976363413694,19,57.89473684210527,-16.20429840013016,0.1717735598074405,0.15789473684210525
L&TFH.NS,4.92706772490108,19,47.368421052631575,-11.0548213389798,0.2593193539421621,0.2631578947368421
LICHSGFIN.NS,-5.947074164007976,21,38.095238095238095,-20.78255021105461,-0.2831940078099036,0.09523809523809523
LTI.NS,-7.901694410320848,30,33.33333333333333,-25.821319998906258,-0.26338981367736164,0.2
LT.NS,-6.572848387082992,20,35.0,-18.003348324503175,-0.3286424193541496,1.05
LINDEINDIA.NS,4.3941168247332545,14,50.0,-8.548105397488976,0.3138654874809467,0.07142857142857142
LUPIN.NS,-14.645686168548455,21,23.809523809523807,-22.85761374187729,-0.6974136270737359,0.3333333333333333
MRF.NS,0.6248916012592318,17,47.05882352941176,-15.072888073445414,0.03675832948583717,1.3529411764705883
M&MFIN.NS,-10.065277329327317,16,31.25,-18.040182708200213,-0.6290798330829573,0.1875
M&M.NS,3.0728443977802993,16,50.0,-10.971289953048906,0.1920527748612687,0.125
MARICO.NS,-5.999510977765114,23,34.78260869565217,-21.900433755812728,-0.26084830338109194,0.21739130434782608
MARUTI.NS,-5.434558013215769,18,33.33333333333333,-16.057978767375943,-0.3019198896230983,0.7777777777777778
MFSL.NS,0.25128972154043994,22,45.45454545454545,-17.78928466143014,0.011422260070019997,0.0
MAXHEALTH.NS,8.563995077619552,20,55.00000000000001,-9.971122183598684,0.4281997538809776,0.0
MSUMI.NS,13.05042440957332,13,69.23076923076923,-4.24861111084652,1.0038788007364092,0.23076923076923078
MPHASIS.NS,-0.47254033733780854,18,44.44444444444444,-12.622943469852752,-0.026252240963211586,0.05555555555555555
MUTHOOTFIN.NS,3.452516987006013,17,47.05882352941176,-11.602267433781309,0.20308923452976546,0.4117647058823529
NTPC.NS,-0.18831768220375178,12,41.66666666666667,-10.112425843173446,-0.01569314018364598,0.5833333333333334
NATIONALUM.NS,-3.3671297675232483,18,44.44444444444444,-16.56185049356511,-0.1870627648624027,0.0
NESTLEIND.NS,4.75483576818116,12,50.0,-6.000000000000002,0.3962363140150967,0.5833333333333334
NAM-INDIA.NS,-9.919183463547725,16,31.25,-19.919183463547714,-0.6199489664717328,0.375
OBEROIRLTY.NS,-11.475180081723105,25,36.0,-28.187020367095123,-0.4590072032689242,0.12
ONGC.NS,6.713162863058239,21,52.38095238095239,-12.941822343868319,0.3196744220503923,0.23809523809523808
OIL.NS,4.753876523619372,20,50.0,-13.218209069433732,0.2376938261809686,0.3
